CO2 Emissions,Days to Start Business,Energy Usage,GDP,Health Exp % GDP,Health Exp/Capita,Infant Mortality Rate,Lending Interest,Life Expectancy Female,Life Expectancy Male,Mobile Phone Usage,Population 15-64,Population 65+,Population Total,Tourism Inbound,Tourism Outbound,Birth Rate,Internet Usage,Population 0-14,Population Urban
87931.0,26.0,26998.0,54790058957.0,0.035,60.0,0.034,0.1,71.0,67.0,0.0,0.619,0.039,31719449.0,102000000.0,193000000.0,0.02,0.0,0.342,0.599
9542.0,26.0,7499.0,9129594819.0,0.034,22.0,0.1075,0.22649999999999998,47.0,44.0,0.0,0.499,0.025,13924930.0,34000000.0,146000000.0,0.05,0.0,0.476,0.324
1617.0,26.0,1983.0,2359122303.0,0.043,15.0,0.09,0.12,57.0,53.0,0.0,0.517,0.029,6949366.0,77000000.0,50000000.0,0.043,0.0,0.454,0.383
4276.0,26.0,1836.0,5788311645.0,0.047,152.0,0.054,0.155,52.0,49.0,0.1,0.587,0.029,1755375.0,227000000.0,209000000.0,0.027,0.0,0.383,0.532
1041.0,26.0,14338.0,2610959139.0,0.051,12.0,0.096,0.12,52.0,49.0,0.0,0.505,0.028,11607944.0,23000000.0,30000000.0,0.046,0.0,0.468,0.178
301.0,26.0,14338.0,870486066.0,0.063,7.0,0.092,0.158,49.0,47.0,0.0,0.481,0.029,6674286.0,1400000.0,14000000.0,0.042,0.0,0.49,0.082
3432.0,26.0,6310.0,9287367569.0,0.044,26.0,0.093,0.22,53.0,51.0,0.0,0.513,0.034,15927713.0,132000000.0,241000000.0,0.041,0.0,0.453,0.455
268.0,26.0,14338.0,914500332.0,0.043,11.0,0.1075,0.22,45.0,43.0,0.0,0.537,0.04,3638316.0,5000000.0,33000000.0,0.039,0.0,0.423,0.376
176.0,26.0,14338.0,1385058212.0,0.063,10.0,0.106,0.22,48.0,46.0,0.0,0.482,0.028,8301151.0,14000000.0,56000000.0,0.051,0.0,0.49,0.216
84.0,26.0,14338.0,201899884.0,0.035,13.0,0.073,0.12,59.0,56.0,0.5,0.554,0.031,528312.0,15000000.0,456000000.0,0.039,0.0,0.415,0.281
1646.0,26.0,16679.0,19088046305.0,0.048,14.0,0.1075,0.12,48.0,45.0,0.0,0.507,0.028,46949244.0,688500000.0,456000000.0,0.048,0.0,0.464,0.351
1049.0,26.0,814.0,3219910666.0,0.021,22.0,0.077,0.22,53.0,51.0,0.0,0.545,0.036,3126204.0,12400000.0,59000000.0,0.039,0.0,0.419,0.587
6791.0,26.0,6734.0,10417060605.0,0.065,42.0,0.1,0.12,47.0,46.0,0.0,0.55,0.029,16131332.0,53000000.0,291000000.0,0.038,0.0,0.421,0.435
403.0,26.0,14338.0,551230862.0,0.058,44.0,0.08,0.12,59.0,55.0,0.0,0.556,0.03,722887.0,8100000.0,14800000.0,0.03,0.0,0.414,0.765
103049.5,26.0,40658.0,99838540997.0,0.054,79.0,0.036,0.132,71.0,66.0,0.0,0.592,0.053,49034725.375,4657000000.0,1206000000.0,0.025,0.0,0.354,0.428
455.0,26.0,14338.0,1045998534.0,0.024,57.0,0.099,0.22,49.0,46.0,0.0,0.537,0.037,518179.0,5000000.0,19000000.0,0.04,0.0,0.426,0.388
609.0,26.0,708.0,706370812.0,0.045,7.0,0.058,0.12,58.0,54.0,0.5,0.512,0.018,3939348.0,36000000.0,456000000.0,0.04,0.0,0.47,0.176
5831.0,26.0,25242.0,8091384891.0,0.043,5.0,0.09,0.109,53.0,51.0,0.0,0.503,0.031,49034725.375,205000000.0,80000000.0,0.044,0.0,0.466,0.147
1052.0,26.0,1463.0,5067865503.0,0.029,118.0,0.056,0.22,61.0,59.0,0.1,0.535,0.059,1225527.0,99000000.0,183000000.0,0.034,0.0,0.406,0.801
275.0,26.0,14338.0,782913866.0,0.045,29.0,0.063,0.22649999999999998,56.0,54.0,0.0,0.514,0.027,1228863.0,688500000.0,456000000.0,0.045,0.0,0.459,0.479
6289.0,26.0,7736.0,4982849054.0,0.048,13.0,0.065,0.12,58.0,56.0,0.0,0.556,0.03,18825034.0,357000000.0,162000000.0,0.035,0.0,0.414,0.439
1280.0,26.0,14338.0,2995360969.0,0.056,19.0,0.103,0.194,51.0,51.0,0.0,0.525,0.034,8746128.0,7800000.0,13000000.0,0.042,0.0,0.44,0.31
147.0,26.0,14338.0,361858968.0,0.049,16.0,0.1075,0.12,53.0,50.0,0.5,0.534,0.031,1273312.0,688500000.0,456000000.0,0.042,0.0,0.435,0.367
10418.0,26.0,14055.0,12705350153.0,0.047,19.0,0.069,0.223,54.0,52.0,0.0,0.531,0.028,31285050.0,500000000.0,156000000.0,0.039,0.0,0.442,0.199
8529.0,26.0,14338.0,771200632.0,0.069,29.0,0.081,0.171,48.0,47.0,0.0,0.543,0.045,1856225.0,18000000.0,195000000.0,0.031,0.0,0.412,0.195
436.0,26.0,14338.0,529064647.0,0.059,11.0,0.1075,0.205,53.0,52.0,0.0,0.537,0.031,2891968.0,688500000.0,456000000.0,0.043,0.0,0.432,0.443
47114.0,26.0,15901.0,33896600871.0,0.034,252.0,0.024,0.07,74.0,70.0,0.0,0.628,0.039,5176185.0,84000000.0,495000000.0,0.022,0.0,0.333,0.763
1874.0,26.0,14338.0,3877673635.0,0.05,12.0,0.071,0.22649999999999998,60.0,57.0,0.0,0.515,0.03,15744811.0,152000000.0,139000000.0,0.041,0.0,0.455,0.271
