title,text,subject,date
"Trump on Twitter (Dec 27) - Trump, Iraq, Syria","The following statements were posted to the verified Twitter accounts of U.S. President Donald Trump, @realDonaldTrump and @POTUS.  The opinions expressed are his own. Reuters has not edited the statements or confirmed their accuracy.  @realDonaldTrump : - On 1/20 - the day Trump was inaugurated - an estimated 35,000 ISIS fighters held approx 17,500 square miles of territory in both Iraq and Syria. As of 12/21, the U.S. military estimates the remaining 1,000 or so fighters occupy roughly 1,900 square miles... via @jamiejmcintyre  [1749 EST] - Just left West Palm Beach Fire & Rescue #2. Met with great men and women as representatives of those who do so much for all of us. Firefighters, paramedics, first responders - what amazing people they are! [1811 EST] - On 1/20 - the day Trump was inaugurated - an estimated 35,000 ISIS fighters held approx 17,500 square miles of territory in both Iraq and Syria. As of 12/21, the U.S. military est the remaining 1,000 or so fighters occupy roughly 1,900 square miles.. @jamiejmcintyre @dcexaminer [2109 EST] - "Arrests of MS-13 Members"," Associates Up 83% Under Trump"" bit.ly/2liRH3b [2146 EST] -- Source link: (bit.ly/2jBh4LU) (bit.ly/2jpEXYR) "",politicsNews
"Trump says AT&T plan to buy Time Warner 'not a good deal'","(Reuters) - U.S. President Donald Trump on Tuesday stood by his criticism of pay TV and wireless company AT&Ts deal to buy movie and TV show maker Time Warner Inc, which the Justice Department has sued to stop. Im not going to get involved in litigation, but personally Ive always felt that that was a deal thats not a good deal for the country, the president said on the lawn of the White House as he left for Florida. I think your pricings going to go up, I dont think its a good deal for the country. The case will be more closely watched than other merger challenges because Trump has been a vocal critic of Time Warners CNN, and opposed AT&Ts purchase of Time Warner on the campaign trail last year, saying it would concentrate too much power in AT&Ts hands. Until Tuesday, he had not repeated that criticism. The U.S. Department of Justice on Monday sued AT&T, arguing that it would use Time Warners content to force rival pay-TV companies to pay hundreds of millions of dollars more per year for Time Warners networks. The Justice Department pushed back any suggestion that the decision to sue was done because of political considerations. This is a law enforcement decision, not a political one. The DOJ has reached the end of a year-long investigation by a large, capable staff of expert lawyers and economists, a Justice Department spokesperson said in an email comment. The division concluded on the merits that the merger is illegal under the antitrust laws because it will hurt competition. AT&T has vowed to defend the $85.4 billion deal in court. The Department of Justices move to block it was foolish because the deal posed no threat to consumers, the wireless carriers trial lawyer, Dan Petrocelli, told CNBC on Tuesday. "We want to go to court as soon as possible"," Petrocelli told CNBC"," saying the burden of proof was on the government. cnb.cx/2AjiOVw AT&T will ask the court for an expedited trial next week"
"Sessions looking into special counsel for Clinton issues: media reports","WASHINGTON (Reuters) - U.S. Attorney General Jeff Sessions has asked Justice Department prosecutors to decide if a special counsel should be appointed to investigate certain Republican concerns, including alleged wrongdoing by the Clinton Foundation and the sale of a uranium company to Russia, according to media reports on Monday. The Washington Post and New York Times cited a letter from the Justice Department to the Republican chairman of the House of Representatives Judiciary Committee, Robert Goodlatte, responding to his request for the appointment of a special counsel to look into various matters. The letter quoted Assistant Attorney General Stephen Boyd as saying that Sessions had "directed senior federal prosecutors to evaluate certain issues raised in your letters"," according to the Post"," which first reported the story (wapo.st/2zEwN7a) Those prosecutors would then make recommendations as to whether any matters not currently under investigation should be opened"
"As Trump targets immigrants, U.S. farm sector looks to automate"," LOS ANGELES (Reuters) - Convincing big U.S. dairy owners to buy robots to milk their cows - and reduce the farmhands they employ - used to be a tough sell for Steve Fried. Recently, his job has gotten easier, he says, in part because of President Donald Trump.  I get calls on a daily basis and it typically starts with, I dont want to deal with this labor headache any more, said Fried, sales manager for Lely North America, which makes robotic dairy milking and feeding systems.  Trumps crackdown on illegal immigration through stepped-up arrests and border enforcement has shaken the U.S. agricultural sector, where as many as 7 in 10 farm workers are undocumented, according to the American Farm Bureau Federation.  In addition, Republican lawmakers in Congress have introduced legislation that would require all employers to check social security numbers against federal databases to ensure their workers are in the country legally, something that is now voluntary in all but a handful of states.  The get-tough approach "has created a great deal of anxiety"," said Tom Vilsack"," chief executive of the U.S. Dairy Export Council"
"'Open Sesame:' Lobbyists cheer warmer welcome in Trump White House"," WASHINGTON (Reuters) - During the eight years of the Obama administration, business lobbyists often found the gates to the White House closed tight.  They are open now under President Donald Trump. That is not altogether unexpected as the New York real estate developer did campaign during the 2016 presidential election on a promise to elevate the needs of business, which he argued would fuel economic growth.  What does surprise lobbyists, however, is the sheer number of wins in getting the Trump administration to roll back or delay unfavorable regulations in its first 10 months. And it is occurring despite White House dysfunction and distraction.  The lobbyists say it is a stark departure from the approach of the Obama administration, which had a reputation for aloofness toward business and sought to limit the influence of lobbyists, whom it saw as beholden to special interests. The Trump White House is listening to them, they say. It is returning their phone calls. And it is working to eliminate regulations they view as detrimental to the ability to prosper.  When 15 lobbyists and business leaders recently held talks with Trump administration officials on energy infrastructure and climate change, they were surprised by the officials' opening question: "Do you have a regulation that we could put on a list to try to eliminate? Is there something that is impeding you from growing?""  In that moment"," one of the lobbyists at the meeting knew it was a new era. That as an opening was not the way the Obama administration approached meetings"," she said.  Its night and day"
"Trump's opponents race to the courthouse to thwart him"," WASHINGTON (Reuters) - When President Donald Trump announced on Oct. 12 he would stop subsidies to health insurers critical to the Obamacare law, the response from Democratic state officials was swift and predictable: a lawsuit by 18 state attorneys general was filed within 24 hours.  The race to the courthouse in response to presidential actions has become a familiar pattern since Trump took office in January, and early rulings in many of the lawsuits have, at least temporarily, hobbled key parts of the presidents agenda.  Many of the Republican presidents most significant executive actions, in areas from immigration and transgender rights to energy and the environment, have been impeded by court rulings in cases brought by Democratic state and local officials as well as liberal advocacy groups.  We are more of a check on this administration than Congress, Democratic New York state Attorney General Eric Schneiderman said of state attorneys general.  Similarly, important executive actions taken by Trumps Democratic predecessor Barack Obama were stymied by lawsuits filed by Republican state attorneys general, including one eventually decided by the Supreme Court that was intended to protect millions of immigrants in the country illegally from deportation.  Since Trump took office, courts have at least temporarily blocked Trumps plans to:  **ban travelers and immigrants from several Muslim-majority countries  **withhold federal funds from so-called sanctuary cities that refuse to cooperate with federal authorities on immigration enforcement  **ban transgender people from serving in the military  **delay implementation of a regulation issued by the Obama administration limiting methane emissions  **put the brakes on an Interior Department rule requiring energy firms to pay more mineral royalties on federal land  **delay compliance with an Obama-era rule aimed at curbing natural gas drilling waste emissions on federal land  **and impede a detained illegal immigrant teenager from obtaining an abortion      Trump has claimed some court victories, too, including on Oct. 25 when a federal judge in California refused the request by the state attorneys general to force the government to keep the subsidies to insurers under Obamacare, formally known as the Affordable Care Act, in place as the litigation proceeds. That decision was more the exception than the rule.  "President Trump remains committed to protecting our national security and to eliminating excessive regulations that"," if implemented"," would destroy jobs"
"U.S. EPA bans some scientists from independent advisory boards","WASHINGTON (Reuters) - The U.S. Environmental Protection Agency announced on Tuesday it will bar certain scientists from serving on its independent advisory boards, a move critics say could open the way to more industry-friendly advisors on the panels. The EPA barred scientists who have won agency-awarded grants in the past, billing the step as a way to preserve the independence and diversity of the boards, which provide the scientific input for agency decisions around pollution and climate change regulation. Whatever science comes out of EPA, (it) shouldnt be political science, EPA Administrator Scott Pruitt, said in a release, adding that committee members will be financially independent from the agency.  Senator Tom Carper, the top Democrat on the Senate environment committee, said Pruitts decision was part of an EPA effort to delegitimize the work of nonpartisan scientists. Carper added, this crusade endangers the health of every American, and it cannot be tolerated. Pruitt signaled the move during a speech last week at the conservative Heritage Foundation, when he questioned the independence of scientists who have won past EPA research grants, and promised to fix the situation. During his election campaign last year, Republican President Donald Trump promised to roll back environmental regulations from Democratic President Barack Obamas administration, including those limiting carbon dioxide emissions blamed for global warming, to make government more friendly to the drilling, mining, and manufacturing businesses.     The advisory boards were created by Congress to serve as a check on EPA policies and research. They include the EPA Scientific Advisory Board, the Clean Air Scientific Advisory Committee, and the Board of Scientific Counselors.  Last year, the SAB questioned an EPA report that concluded that hydraulic fracturing - an oil and gas drilling technology that frees petroleum from underground shale formations - had no "widespread impacts"" on drinking water despite evidence of problems in several states. (reut.rs/2h2GTrD) In June"," Pruitt decided not to renew the terms of nine members of a separate body"," the 18-member Board of Scientific Counselors. One of those members"
"Exclusive - Game of Drones: U.S. poised to boost unmanned aircraft exports"," WASHINGTON (Reuters) - The Trump administration is nearing completion of new Buy American rules to make it easier to sell U.S.-made military drones overseas and compete against fast-growing Chinese and Israeli rivals, senior U.S. officials said.  While President Donald Trumps aides work on relaxing domestic regulations on drone sales to select allies, Washington will also seek to renegotiate a 1987 missile-control pact with the aim of loosening international restrictions on U.S. exports of unmanned aircraft, according to government and industry sources.  At home, the U.S. administration is pressing ahead with its revamp of drone export policy under heavy pressure from American manufacturers and in defiance of human rights advocates who warn of the risk of fueling instability in hot spots including the Middle East and South Asia.  The changes, part of a broader effort to overhaul U.S. arms export protocols, could be rolled out by the end of the year under a presidential policy decree, the administration officials told Reuters on condition of anonymity.  The aim is to help U.S. drone makers, pioneers in remote-controlled aircraft that have become a centerpiece of counterterrorism strategy, reassert themselves in the overseas market where China, Israel and others often sell under less-cumbersome restrictions.  Simplified export rules could easily generate thousands of jobs, but its too early to be more specific, said Remy Nathan, a lobbyist with the Aerospace Industry Association. The main beneficiaries would be top U.S. drone makers General Atomics, Boeing (BA.N), Northrop Grumman (NOC.N), Textron (TXT.N) and Lockheed Martin (LMT.N).  This will allow us to get in the game in a way that weve never been before, said one senior U.S. official.  Regulations are expected to be loosened especially on the sale of unarmed intelligence, surveillance and reconnaissance drones, the most sophisticated of which carry high-resolution cameras and laser-guided targeting systems to aid missiles fired from warplanes, naval vessels or ground launchers.  Deliberations have been more complicated, however, on how to alter export rules for missile-equipped drones like the Predator and Reaper. Hunter-killer drones, which have essentially changed the face of modern warfare, are increasingly in demand and U.S. models considered the most advanced.  The push is not only part of Trumps Buy American agenda to boost U.S. business abroad but also reflects a more export-friendly approach to weapons sales that the administration sees as a way to wield influence with foreign partners, the senior official said.  Under a draft of the new rules, a classified list of countries numbering in double digits would be given more of a fast-track treatment for military drone purchases, a second senior official said. The favored group would include some of Washingtons closest NATO allies and partners in the "Five Eyes"" intelligence alliance: Britain"," Australia"," Canada and New Zealand"
"U.S. small-cap firms look to spend tax savings on tech, not jobs"," NEW YORK (Reuters) - A Texas-based chain of strip clubs would go on a buying spree. A growing technology company would move fewer jobs overseas. And a regional bank would boost its spending on cybersecurity.  These are some of the uses of the tax savings that small and medium-sized U.S. companies say they would pursue if the Trump administration and the Republican-controlled Congress slashed corporate taxes as promised.  Small companies pay the highest taxes and they would be the main beneficiaries of such a Trump windfall. Reuters contacted the 100 largest companies by market value in the benchmark Russell 2000 index of U.S. small and mid-cap stocks as well as another 50 in the Russell 2000 with no analyst coverage. None of the 17 companies that responded to Reuters queries mentioned boosting their headcount.  The administration has said the tax cuts would largely pay for themselves by spurring more investment and creating jobs.  But companies say they look to spend on technology that will allow them to improve productivity or make acquisitions rather than hire more workers.  We want to be a company of the future, and technology is one of the key ingredients, said Keith Cargill, chief executive at Dallas-based Texas Capital Bankshares Inc (TCBI.O), a bank with a market value of $4.2 billion. The tax cut would be a huge plus for earnings, Cargill said, but with little impact on the banks workforce.  The Russell 2000 companies tend to pay the highest effective tax rates now - an average of 31.9 percent, according to Thomson Reuters data - and would stand to gain the most if corporate taxes are cut to 20 percent from 35 percent as the Trump administration has proposed.   For large companies in the S&P 500, the average effective tax rate is 28 percent, a reflection of a greater share of overseas business and more leeway in reducing their tax rates.  While few companies would discuss any details in public before outlining them to their shareholders, executives, chief financial officers and treasures say they are already starting to formulate plans for a tax windfall even if they are not certain whether and in what form it will pass.  Neil Hennessy, the chief executive of Novato, California-based Hennessy Advisors Inc (HNNA.O), a mutual fund company, told Reuters he was in acquisition mode and would keep looking for targets in the event of a tax cut passing.  One of the first firms to publicly discuss a potential tax windfall is RCI Hospitality Holdings Inc (RICK.O), a chain of 40 strip clubs headquartered in Houston, Texas. Its chief executive Eric Scott Langan told analysts on Aug. 9 that a tax cut would allow him to buy more clubs and boost the share price, which he complained failed to reflect the firms organic growth.  "I think that's going to change and I think that's when you're going to see the multiple expansion come into play"," he said during an earnings call.  The tax cut would also affect companies which do not pay taxes now either because they are not yet profitable or are using past losses to offset their tax bills.  Paul Auvil"," the chief financial officer at cybersecurity company Proofpoint Inc (PFPT.O)"
"Republicans move on tax reform; Fed officials see economic threats","WASHINGTON (Reuters) - Congressional Republicans moved to hasten an overhaul of the U.S. tax code on Thursday, while Federal Reserve officials warned in rare public remarks that President Donald Trumps tax plan could lead to inflation and unsustainable federal debt. In a procedural step forward, the Republican-controlled House of Representatives approved by a 219-206 vote a fiscal 2018 spending blueprint to help advance an eventual tax bill. The blueprint contains a legislative tool that would let Republicans pass a tax bill by a simple majority vote in the Senate, where they hold 52 of 100 seats, allowing them to bypass Democrats. Separately, the Senate Budget Committee approved its own budget resolution and sent it to the full Senate for a vote, expected after Oct 16. Trump and top Republicans in Congress hope to enact a package of tax cuts for corporations, small businesses and individuals before January, pledging that sharply lower taxes will boost U.S. economic growth, jobs and wages. Wall Street rose on the steps taken, with major market indexes rising to record high closes again on Thursday as investors warmed to the notion that a sweeping tax overhaul could be in place by the first quarter. "It sounds like they're serious about drafting tax reform legislation and that gives everyone greater confidence that this might actually happen"," said Phil Orlando"," chief equity strategist at Federated Investors in New York. He predicted tax reform could lift economic growth and corporate earnings for 2019 and send the benchmark S&P 500 .SPX index above 3"
"U.S. will admit up to 45,000 refugees next year -Trump","WASHINGTON (Reuters) - The United States will admit a maximum of 45,000 refugees during the 2018 fiscal year, President Donald Trump said in a memorandum to Secretary of State Rex Tillerson and released by the White House on Friday. The cap, the lowest in decades, was proposed by the administration in a report to Congress on Wednesday. Refugee advocates say the lower limit ignores growing humanitarian crises around the world that are causing people to flee their native countries in greater numbers, and represents a departure from U.S. global leadership. The Trump administration says the lower cap is necessary so that U.S. officials can address a growing backlog of people applying for asylum inside the United States, and to do better vetting of refugees. In its report to Congress, which was reviewed by Reuters, the administration said it may assess refugees on their "likelihood of successful assimilation and contribution to the United States."" (tmsnrt.rs/2yHEKpk) An assimilation standard for refugees would be a departure from recent practice but on its face is not inappropriate"," said Joseph Cassidy"," a fellow at the Wilson Center and former State Department official. The particular concern is that assessments could be made"
