title,text,subject,date
"Democrat Senator Warns Mueller Not To Release Findings On Russia Before 2018 Midterms","According to The Hill, Democrat Senator Bob Casey is warning special counsel Robert Mueller against issuing his Russia report near the 2018 electionSen. Bob Casey Jr. (D-Pa.) on Sunday warned special counsel Robert Mueller against issuing a report on his findings in the ongoing investigation of Russian interference in the 2016 election near the upcoming 2018 midterm elections.Speaking to radio host John Catsimatidis on New York radio station AM 970, Casey said he couldn t make any assumptions about where the Mueller investigation is going in light of indictments issued on Friday. But he added that he would recommend Mueller not release a report on his findings near the midterms when it would distract from elections or cause people to question the election s integrity. I don t think we ll know anywhere near the full story until [Mueller] issues his report,  Casey said.  But once you get into the summer, and you get close to the election, I think it s a mistake for him to release it late. I think you should wait until after [the election]  Casey said. ",politics,19-Feb-18
"MSNBC ANCHOR Flabbergasted at What Texas Teachers Do to Protect Their Students [Video]","If we protect every other government building or public venue with armed guards, why shouldn t our schools be protected with armed teachers? A Texas Sheriff shocked an MSNBC host when he discussed how he prepares local teachers to be armed in the classroom. common sense solution? You betcha!Sheriff Paul Cairney of Argyle, Texas, described the process by which staff members can carry firearms in the school district. The Sheriff said that the staff at the school who choose to carry a firearm go through an intense round of interviews and training before they are allowed to carry on campus. The MSNBC host was flabbergasted at the practice and asked the Sheriff about concerns for the safety of the students in the school when there are firearms around.Sheriff Cairney:  The time to do nothing is over THE PROCESS TO BECOME A SCHOOL MARSHALL:To become a school marshal, those employees must undergo extensive active shooter and firearms training with the state. They must also undergo a mental health evaluation. They receive a school marshal designation by the Texas Commission on Law Enforcement and must renew their license every two years by undergoing the same training and evaluation. Outside of campuses in Keene and Argyle, signs warn visitors that there are staff members who are armed and are prepared to protect children.",politics,19-Feb-18
"WATCH: SNOWFLAKES ASKED Communist Party Platform or Democratic Party Platform? [Video]","Ami Horowitz is fantastic! Check out this man on the street effort to see how much snowflakes know about what they profess to support. Have the Democrats gone so far to the left that they can t tell the difference between their party platform and that of the communists? It s an eyeopener!If you haven t seen Ami Horowitz before, he has a fantastic video about sharia law in America:Ami Horowitz hits the streets of Minnesota to find out if the Somali Muslims there understand that American law is the only law. They don t get it and say that they prefer Sharia law. Do you think that if we keep bringing over thousands and thousands of Muslims that they will want to keep our law? Think about it Dana Loesch speaks with the filmmaker Ami Horowitz: ",politics,19-Feb-18
"JUST IN: BADASS GENERAL JOHN KELLY Shoved Chinese Security Officials Hand Off US Military Aide Carrying Nuclear Football During Trump Meeting In Beijing","Just one more reminder of why President Trump chose the no-nonsense General John Kelly to be his chief of staff On Thursday, Nov. 9, when President Trump and his team visited Beijing s Great Hall of the People, Chief of Staff John Kelly and a U.S. Secret Service agent skirmished with Chinese security officials over the nuclear football.I ve spoken to five sources familiar with the events. Here s what happened, as they describe it:The whole scuffle was over in a flash, and the U.S. officials told about the incident were asked to keep quiet about it. Trump s team followed the normal security procedure to brief the Chinese before their visit to Beijing, according to a person familiar with the trip  but somebody at the Chinese end either didn t get the memo or decided to mess with the Americans anyway.I m told that at no point did the Chinese have the nuclear football in their possession or even touch the briefcase. I m also told the head of the Chinese security detail apologized to the Americans afterward for the misunderstanding.   Axios",politics,18-Feb-18
"DOJs JEFF SESSIONS Opens Investigation Into What The FBI Told The FISA Court About The Fake Dossier To Get Warrants","Thank goodnesss Jeff Sessions is moving on finding out what went on behind the scenes to acquire FISA warrants. In other words, what was NOT said in order to get the judge to approve the FISA warrant to spy:We can start with why law enforcement officials who submitted the application failed to note that the Clinton campaign and DNC funded the dossier. The application does note that the dossier was put together by a  U.S. person  with political motivations, but Republicans have argued that the application should have been more specific.Via Daily Caller: Attorney General Jeff Sessions said Sunday that the Department of Justice is investigating whether the FBI submitted accurate information about the infamous Steele dossier in order to obtain a surveillance warrant against former Trump campaign adviser Carter Page. Are you, sir, investigating the fact that the FBI used the dossier to get a wiretap against Trump associates and they did not tell the FISA court that the Democrats and Hillary Clinton paid for the dossier?  Maria Bartiromo, the host of Fox News   Sunday Morning Futures,  asked Sessions. Let me tell you, every FISA warrant based on facts submitted to that court have to be accurate,  he replied.Keep reading ",politics,18-Feb-18
"WATCH: Carpetbagger Mitt Romney Takes Swipe At Trump In First Ad For Senate In Utah","The GOP presidential candidate who couldn t seem to find his spine when he had the perfect opportunity to stop Barack Obama from serving a second term, has suddenly discovered how to fight. The only problem is, the  Never-Trumper  has taken his fight to our President, who happens to very popular with Republicans. Does Mitt Romney believe he can win a US Senate seat in the conservative state of Utah by criticizing President Trump? Will Romney s gamble pay off, or will he find himself in the loser s column again in a state where 46% of the residents voted for Trump, while only 28% voted for Clinton.But Romney, not a lifelong resident is taking heat for carpet bagging:Romney has lived in Utah for approximately 5 five years after losing his 2012 presidential bid to Barack Obama. The former Massachusetts governor has been accused of carpetbagging by Republican officials in the state. I think he s keeping out candidates that I think would be a better fit for Utah because let s face it, Mitt Romney doesn t live here, his kids weren t born here, he doesn t shop here,  Utah GOP chairman Rob Anderson told the Salt Lake City Tribune.Watch Romney ad here:I am running for United States Senate to serve the people of Utah and bring Utah's values to Washington. pic.twitter.com/TDkas6gD2p  Mitt Romney (@MittRomney) February 16, 2018",politics,18-Feb-18
"GOTCHA! A Stammering John Podesta Stunned by a REAL Question from CBS Reporter","John Podesta is Hillary Clinton s former campaign chairman so you know he s a dirty bird. That s why this is such a fun video to watch. Podesta had a brutal exchange on CBS s  Face the Nation  on Sunday when asked about the campaign s failure to focus on so-called  purple states  in 2016.Host Nancy Cordes noted that an indictment handed down by special counsel Robert Mueller on Friday showed that Russian operatives who meddled in the election appeared to realize the importance of focusing on those battleground contests. Then she goes in for the kill with this question: But it does beg the question, how is it that these Russian operatives knew to focus on purple states like Michigan and Wisconsin and your campaign didn t?  LOL! That s such a great snark-filled question!TRANSCRIPT OF FULL INTERVIEW:NANCY CORDES: Welcome back to  Face the Nation.  I m Nancy Cordes. Our next guest, John Podesta, was the chairman of Hillary Clinton s 2016 campaign. His private emails were hacked and released publicly by Russian-backed entities during the campaign. Mr. Podesta, thank you so much for being with us.JOHN PODESTA: Nice to be back, Nancy.NANCY CORDES: For anyone who voted for Hillary Clinton, these new indictments mean what?JOHN PODESTA: Well, look, it s a tragedy for the American people, really. As Mr. Mueller said in his indictment, this was an act of information warfare against the United States, against our democracy. So I think it s, obviously, disappointing to those of us who were on the receiving end of these Russian active measures, but I think the real victims here are the American people because there, there was direct interference with our democratic institutions.NANCY CORDES: The deputy attorney general was very careful on Friday to say that we don t know whether or not this operation swayed the election. You ve had a lot time think about this, where do you come down on that issue?JOHN PODESTA: Well, look, this was one part of a, of a complex, active interference in the measures. This didn t even deal with the hacking, this was only about what was going on in the social media and the, and the information campaign that was being done there, but there were 80 people, millions of dollars spent. And as one of your previous guests, Senator Coons noted, we won the popular vote by three million votes. They were pushing votes, just to give one example, to Jill Stein. Her vote in Michigan, in Pennsylvania, and Wisconsin was greater than the gap between Donald Trump and Hillary Clinton in those states. So you can t prove that it did affect the outcome, but it certainly seems likely that it had some impact.NANCY CORDES: But it does beg the question, how is it that these Russian operatives knew to focus on purple states like Michigan and Wisconsin, and your campaign didn t?JOHN PODESTA: Well, of course, we spent a lot of time, energy, and effort in all those states.NANCY CORDES: Hillary Clinton, herself, did not spend much time in those states.JOHN PODESTA: We, you know, we had   Tim Kaine was there, Barack Obama was in   and she spent enormous time in Pennsylvania and Michigan.NANCY CORDES: Sure.JOHN PODESTA: And we spent a lot of effort. We had more staff in Wisconsin than even President Obama had in 2012. But, but I think that begs the question, I think we, we focused on the places we thought were that were you know in contest, and at the end of the day, we fell short in those states. And I think that this active measures effort by the Russians could have tilted the election in, in Donald Trump s favor. But I think what the real issue is, is how he s reacted to that. And in that context, if we re   if this is information warfare, then I think he s the first draft-dodger in the war. I mean, he has done nothing but tried to undermine the Mueller investigation, he hasn t implemented the sanctions that he   was passed by the congress and that he signed in reaction to the, to the activities in the 2016 election. We learned this week, he s ordered no effort to try to get the intelligence community to get together to try to prevent further activities in the 2018 election.NANCY CORDES: Why do you think that is? Do you think it s because to do so would be to admit that somehow the Russians might have influenced this election?JOHN PODESTA: Well, you know, I think that Mr. Trump s psyche is complicated and people have said a lot, a lot about it, but he certainly can t accept that this activity may have helped him, and I think he just constantly tries to move the ball away, including what was, I think, really a despicable tweet about the fact that he s blaming the FBI for investigating the Russia investigation and somehow relating that to the tragic killings in Florida. But you know who knows with Mr. Trump? But he clearly, I think, has failed in carrying out his duty as president of the United States, which is to protect our democracy.NANCY CORDES: Midterm elections are coming up, and it s been reported that Democrats are telling your former boss, Bill Clinton, that in light of the Me Too movement, they, they think he should sit it out, he should be benched, and they re not looking for him to actively campaign for them. Is that true? And do you think that that s the right call?JOHN PODESTA: Look, I think he remains, I think, a figure who is popular with a lot of Democrats across the country. And I think that people are calling him, candidates are calling him and asking for advice. But whether he s going to be an active participant, I think that s not you know really on the top of his mind right now. I think he s doing other things, and, and people make their own judgments about whether he can be helpful in the campaign.NANCY CORDES: Do you think it s a good idea, very quickly, for him to sit it out?JOHN PODESTA: Well, you know, look, I think that, that if I was advising a campaign and a candidate about what to do, I would, I would sort of judge whether he can be helpful. And I think some places he can be, and probably some places he s more of a lightning rod.NANCY CORDES: All right, John Podesta, thank you so much. Campaign chairman for Hillary Clinton. And we ll be right back with our panel of Republicans who are leaving the House and Senate.",politics,18-Feb-18
"HIGH SCHOOL TEACHER Makes Shooting At Trump Option For Answer On Multiple Choice Test","EAG News  A Wyoming high school is under fire after parents exposed an online student quiz that offered  shooting at Trump  as one of the multiple choice answers.An unidentified English teacher at Jackson Hole High School gave students a multiple choice quiz on Thursday about George Orwell s novel  Animal Farm  that included a question that many are pointing to as an example of the district s  liberal bias,  the Jackson Hole News and Guide reports. Napoleon has a gun fired for a new occasion. What is the new occasion?  the quiz read.Possible answers included  He was shooting at Trump,   His birthday,   For completion of the windmill,  or  To scare off the attackers of Animal Farm. Jim McCollum told the news site he did a double-take when his son showed him a screenshot he took of the test. I had to read it two times,  McCollum said.  I was like,  Are you kidding me? McCollum, a Jackson Hole High School graduate and Trump supporter, shared the quiz on Facebook, where it was shared widely and generated a lot of angry comments. It was so inappropriate to show a name of a sitting president in that question,  he said.  To me, that is so wrong in light of the situation in our country and the divisiveness and all. He told the news site the incident is one of other examples of  liberal bias  in other classes at the school that make conservative students like son out to be  the outcast. He told me,  Dad, they crapped on everything I believe in,  McCollum said of his son.  Rylee is very patriotic, very supportive of our military and of our country  and is considering enlisting in the U.S. Marines.School officials eventually issued a statement about the quiz on Monday. (District) administration learned late yesterday that a quiz was administered to a class of high school students that contained an inappropriate answer to a multiple choice question. Administration is investigating this incident and verifying the information we have received,  the statement read. (The District) takes seriously threats of any kind, regardless of the intent. We apologize to the students, families, and community for this incident and will be addressing the issue with personnel. It s unclear what, if any, discipline the teacher may face.The incident occurred in the Teton County School District #1.According to The Washington Post:Last year, deeply conservative Wyoming voted for Trump by the widest majority of any state, 70 percent. In Teton County, Hillary Clinton got 60 percent, the only Wyoming county the Democrat won.Teton County is a wealthy ski and summer recreation destination. Residents include former Vice President Dick Cheney and his daughter, Republican U.S. Rep. Liz Cheney.In 2015, school administrators canceled an  America Day  tradition for homecoming in which students donned red, white and blue and rode around on a diesel truck to show their patriotism and love of country. Activities director Mike Hansen put the kibosh on the event because he alleged some students might get offended.The school s juniors and seniors didn t buy it, however, and many showed up to school decked out in stars and stripes, then paraded the diesel truck around the school parking lot at the end of the day, waving American flags. It s homecoming week and our school administration thought it was too  offensive  to have an America Pride Day! So this is my kids answer to that!  local parent Ted Dawson posted to Facebook with pictures of his kids in patriotic get-ups.  Where have we gone wrong! I don t care what race or religion you are, you live here, benefit from the schools, enjoy tax benefits or whatever   you re an American or at least you better be! ",politics,18-Feb-18
"IT BEGINS&RINO MEGA-DONOR Threatens Jeb Bush: No More Money To GOP Until Assault Weapons Are Banned","A longtime Republican Party donor based in Florida vowed not to contribute any more money to candidates or electioneering groups until they pass legislation banning the sale of assault weapons to civilians.Al Hoffman Jr., a real estate developer and former ambassador to Portugal, has donated millions to Republicans over the years. On Saturday he sent an email to a half-dozen Republican donors, encouraging them to boycott candidates who oppose new gun legislation, the New York Times reported.  FOX The New York Times reports that Hoffman made this announcement via an email that he sent to Jeb Bush and Gov. Rick Scott (R), among others. Hoffman was a major contributor to the George W. Bush presidential campaign. He also donated more than $1 million to a PAC supporting Jeb Bush s failed presidential campaign bid.Hoffman wrote,  For how many years now have we been doing this   having these experiences of terrorism, mass killings   and how many years has it been that nothing s been done? It s the end of the road for me.  He added,  I will not write another check unless they all support a ban on assault weapons. Enough is enough! Predictably, the leftist media has now embraced the mega-Republican Party donor. CNN s Ana Navaro tweeted her praise for Hoffman s ultimatum. Navarro went as far as to call  Republica  Hoffman a  friend :  Very proud of my friend, Al Hoffman, for taking a stand. He s a West Point grad. He s a veteran. Has served in many capacities. He is a Republica. A father. A husband. A patriot: Prominent Republican Donor Issues Ultimatum on Assault Weapons   via @nytimesVery proud of my friend, Al Hoffman, for taking a stand. He s a West Point grad. He s a veteran. Has served in many capacities. He is a Republica. A father. A husband. A patriot: Prominent Republican Donor Issues Ultimatum on Assault Weapons, via @nytimes https://t.co/flyZQ1vR7p  Ana Navarro (@ananavarro) February 18, 2018Hoffman did not define an  assault weapon,  did not say whether it is a set type of firearm or just any rifle that has the cosmetic features banned by Democrats from 1994-2004. It must be noted that the Democrat ban did not ban the rifles, only the cosmetic features. Is that what Hoffman has in mind?   Breitbart ",politics,18-Feb-18
"BUSTED! Maxine Waters Ties to Black Nationalist Hate Group Further Exposed [Video]","We reported that Maxine Waters and members of the CBC met with Louis Farrakhan but we now know that she also was a guest at Farrakhan s Nation of Islam convention! Louis Farrakhan and his Nation of Islam are as un-American and hateful as you can get. They are anti-semites and believe that whites are inherently inferior. Farrakhan often preaches hate for the West and for whites and Jews.NOTICE HOW MAXINE WATERS IN THE RED IS GREETED BY FARRAKHAN AT THE 3:40 MARK:Daily Caller reports:Democratic California Rep. Maxine Waters attended a Nation of Islam convention where the hate group s leader, Louis Farrakhan, defended Palestinian suicide bombers.The convention, which took place in California in 2002, is just the latest tie to emerge between Democrats and the Nation of Islam, a black nationalist group known for being viciously anti-Semitic. We have Maxine Waters here,  Farrakhan told the convention audience, gesturing to the seats behind him,  our great congresswoman from this area.  The audience cheered Waters  name.Later in his speech, Farrakhan excused Palestinian suicide bombers and defended Iran for arming Palestinian terrorists.OUR PREVIOUS REPORT ON THE CBC MEMBERS WHO MET WITH FARRAKHAN:WATCH members of the Black Caucus, who were all caught on video embracing one of the most openly hateful racists of our time, Louis Farrakhan of the Nation of Islam in a newly released video.The new images and videos show Congressional Democrats, some of whom are still serving, warmly embracing Farrakhan in 2006 at a church in New Orleans. The footage was brought to light by columnist Jeryl Bier. Bier has been tweeting the following images and video of the encounterAmericans were shocked when an Obama image recently emerged that was kept a secret by the photographer who took it because he believed it would hurt the future president s  political career. Here is that image that was hidden from the public:Wall Street Journal journalist Jeryl Bier was the first to break this story:2006, in a side room off a church foyer in New Orleans:@LouisFarrakhan:  Tell me how I can be of service. @RepMaxineWaters:  I think we need to get together and talk about how we re going to put New Orleans on the national agenda. https://t.co/Z3w9cpLTnf pic.twitter.com/YPXf0NMaPS  Jeryl Bier (@JerylBier) January 30, 2018The woman who screams  Impeach Trump  almost every time she opens her mouth, and had made several attempts at trying to label President Trump as a  racist  with absolutely no evidence, Democrat Black Caucus member, Maxine Waters is seen hugging one of the most notorious racists in America, Louis Farrakhan:Here are a few more Democrat Black Caucus members seen hugging race baiter and hate mongerer Louis Farrakhan.Democrat Rep. William JeffersonDemocrat Rep. Barbara LeeDemocrat Rep. Al Green",politics,18-Feb-18
